"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"9411","Normal/Others","WS/MP18226/2024-2025/169074-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near Nag Baba Sthan Bazar intersection in Gram Panchayat Patrasi.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"9412","Normal/Others","WS/MP18226/2024-2025/169075-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near Surendra Verma house intersection in village Muradnagar of Gram Panchayat Patrasi.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"9413","Normal/Others","WS/MP18226/2024-2025/169077-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Chandrika Gaudhi Shiv Mandir intersection of Gram Panchayat Odara.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"9414","Normal/Others","WS/MP414/2024-2025/182404-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA)","Construction work of PCC road from Jyoti Mangalkar house to four lane road in Devri Maheshpur village of Panchayat Banshipur, Block - Kahalgaon","Ajay Kumar Mandal","BHAGALPUR","N/A","27-Jun-2025","1177941"
"9415","Normal/Others","WS/MP18037/2024-2025/169125-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Soler High Mast Pole Light at Talab","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9416","Normal/Others","WS/MP18037/2024-2025/169126-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","High Mast soler Light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9417","Normal/Others","WS/MP18037/2024-2025/169127-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","High Mast Soler Light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9418","Normal/Others","WS/MP18037/2024-2025/169128-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","High Mast Soler Light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9419","Normal/Others","WS/MP18037/2024-2025/169129-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","High Mast Soler Light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9420","Normal/Others","WS/MP18037/2024-2025/169130-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","High Mast Soler Light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9421","Normal/Others","WS/MP18037/2024-2025/169132-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","High Mast Soler Light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9422","Normal/Others","WS/MP18170/2025-2026/176239-Improvement of electricity distribution infrastructure","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Work of connecting village Pura Bad PHED electricity connection account number 1741 56 from rural feeder to city feeder for drinking water,","AMRARAM","SIKAR","Images","10-Nov-2025","325374"
"9423","Normal/Others","WS/MP18037/2024-2025/176948-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Vill - Bara, Panchayat  - Tol men High maast light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9424","Normal/Others","WS/MP18050/2025-2026/179372-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BALOD(Collector Balod_IDA)","c c sadak shamsan ghat marg","BHOJRAJ NAG","KANKER(ST)","Images","29-Apr-2026","500000"
"9425","Normal/Others","WS/MP18037/2024-2025/169131-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","High Mast Soler Light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9426","Normal/Others","WS/MP18037/2024-2025/173384-Lighting of public spaces","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Lighting of public spaces","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9427","Normal/Others","WS/MP18037/2024-2025/177019-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Gram - Dhundhua men surya mandir prangan men High Maast Light","RAJA RAM SINGH","KARAKAT","Images","27-Jun-2025","298800"
"9428","Normal/Others","WS/MP18050/2025-2026/179358-Construction of community centers and community halls","Chhattisgarh","BALOD(Collector Balod_IDA)","samudayik bhawan","BHOJRAJ NAG","KANKER(ST)","Images","27-Feb-2026","693300"
"9429","Normal/Others","WS/MP728/2025-2026/193509-Development of playground","Rajasthan","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Development work of Playground of Govt Sen Sec school, Melusar, Ratangarh","Rahul Kaswan","CHURU","Images","10-Aug-2026","691928"
"9430","Normal/Others","WS/MP18212/2024-2025/160875-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Block Mitauli ke Gram Panchayat Rautapur majara Swamidayalpur me Tikaram ke makan se Lodhai ke makan tak CC road with Drainage work- 42 Mtr.","ANAND BHADAURIYA","DHAURAHRA","Images","09-Jan-2026","495777"
"9431","Normal/Others","WS/MP18212/2024-2025/160876-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Block Mitauli ke Gram Bagwatipur me Ramvilas Yadav ke makan se Sewa Kachhi ke makan tak CC road with drainage work- 70 Mtr.","ANAND BHADAURIYA","DHAURAHRA","Images","09-Jan-2026","935046"
"9432","Normal/Others","WS/MP18212/2024-2025/160878-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Block Lakhimpur ke Gram Panchayat Gutthna Buzurg me majara Gutthna Khurd me Sunil Verma ke makan se purani CC road tak CC road with drainage work- 90 Mtr.","ANAND BHADAURIYA","DHAURAHRA","Images","09-Jan-2026","790382"
"9433","Normal/Others","WS/MP18212/2024-2025/160869-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Block Mitauli ke Gram Panchayat Multanpur Grant Gram Beerampur me Latif ke makan se Babu Bhargava ke makan tak CC road with drainage work- 180 Mtr.","ANAND BHADAURIYA","DHAURAHRA","Images","09-Jan-2026","1921903"
"9434","Normal/Others","WS/MP18212/2024-2025/160873-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Block Mitauli ke Gram Chaudhakpur me Ramprasad ke makan se Veerpal ke makan tak CC road with drainage work- 140 Mtr.","ANAND BHADAURIYA","DHAURAHRA","Images","09-Jan-2026","1286956"
"9435","Normal/Others","WS/MP18212/2024-2025/160874-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Block Mitauli ke Gram Panchayat Salahpur me Link Road se Ram Naresh ke makan tak CC road with drainage work- 100 Mtr.","ANAND BHADAURIYA","DHAURAHRA","Images","09-Jan-2026","1198465"
"9436","Normal/Others","WS/MP18212/2024-2025/160879-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Block Pasgawan ke Gram Panchayat Fariha Pipariya ke majara Jahan Nagar me Kalicharan ke makan se Santosh Yadav ke makan tak CC road with drainage work- 100 Mtr.","ANAND BHADAURIYA","DHAURAHRA","N/A","25-Apr-2026","856564"
"9437","Normal/Others","WS/MP642/2025-2026/195670-Purchase of mobile water tankers","Madhya Pradesh","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Gram Panchayat me Pani tankers hetu","Ganesh Singh","SATNA","Images","28-Mar-2026","163424"
"9438","Normal/Others","WS/MP642/2025-2026/195676-Purchase of mobile water tankers","Madhya Pradesh","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Gram Panchayat me Pani tankers hetu","Ganesh Singh","SATNA","Images","27-Mar-2026","163424"
"9439","Normal/Others","WS/MP728/2025-2026/191748-Construction of rooms and halls in school and colleges","Rajasthan","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Construction work of 20 x 25 Room with Baramada in Govt Upper Pri School, Chainpura Chota, GP Kangar, Ratangarh","Rahul Kaswan","CHURU","N/A","05-Feb-2026","898022"
"9440","Normal/Others","WS/MP642/2025-2026/195672-Purchase of mobile water tankers","Madhya Pradesh","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Gram Panchayat me Pani tankers hetu","Ganesh Singh","SATNA","Images","28-Mar-2026","163424"
"9441","Normal/Others","WS/MP18024/2024-2025/163858-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Construction of 2 No Hulunguri Crematorium Rest House, Hulunguri, Mariani, 18 No Kathalguri GP","GAURAV GOGOI","JORHAT","N/A","06-Oct-2025","250000"
"9442","Normal/Others","WS/MP18024/2024-2025/163860-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Construction of Link Road Bhelaguri to Kakojan Main Road, Bhelaguri, Nakachari, 19 No Balijan Mondal GP","GAURAV GOGOI","JORHAT","N/A","06-Oct-2025","250000"
"9443","Normal/Others","WS/MP18024/2024-2025/163856-Construction of community centers and community halls","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Development of Nabodoy Youth Sangha Community Hall, Borgayan Gaon, 16 No Uttar Pub Nakachari GP","GAURAV GOGOI","JORHAT","N/A","15-Dec-2025","250000"
"9444","Normal/Others","WS/MP598/2025-2026/174083-Construction of community centers and community halls","Himachal Pradesh","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Add. Amounts Community Centre Loharon GP Dangari Executive Agency BDO Solan","Suresh Kumar Kashyap","SHIMLA (SC)","Images","14-Oct-2025","150000"
"9445","Repair and Renovation","WS/MP598/2025-2026/180221-Construction of community centers and community halls","Himachal Pradesh","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Repair of Community Hall Salogra Basti GP Salogra Executive Agency BDO Solan","Suresh Kumar Kashyap","SHIMLA (SC)","Images","24-Nov-2025","200000"
"9446","Normal/Others","WS/MP787/2024-2025/157713-Lighting of public spaces","Uttar Pradesh","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat nasara me Highmast light ka Adhisthapan karya.","Devendra Alias Bhole Singh","AKBARPUR","Images","23-Dec-2025","525953"
"9447","Normal/Others","WS/MP787/2024-2025/157716-Lighting of public spaces","Uttar Pradesh","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat Pauhar me Highmast light ka Adhisthapan karya.","Devendra Alias Bhole Singh","AKBARPUR","Images","23-Dec-2025","525953"
"9448","Normal/Others","WS/MP787/2024-2025/157702-Lighting of public spaces","Uttar Pradesh","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat Karbigaon me Highmast light ka Adhisthapan karya.","Devendra Alias Bhole Singh","AKBARPUR","Images","01-Dec-2025","525693"
"9449","Normal/Others","WS/MP787/2024-2025/157723-Lighting of public spaces","Uttar Pradesh","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat Purwamir me Highmast light ka Adhisthapan karya.","Devendra Alias Bhole Singh","AKBARPUR","Images","23-Dec-2025","526160"
"9450","Normal/Others","WS/MP787/2024-2025/157722-Lighting of public spaces","Uttar Pradesh","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat sikathiya me Highmast light ka Adhisthapan karya.","Devendra Alias Bhole Singh","AKBARPUR","Images","23-Dec-2025","526108"
"9451","Normal/Others","WS/MP526/2025-2026/165993-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing of CC road from Urban Helath Centre to Niranjan Nagar Colony, Main road in Prakash Nagar","Y S Avinash Reddy","KADAPA","Images","28-Jun-2025","2794103"
"9452","Repair and Renovation","WS/MP18393/2024-2025/160969-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Telangana","SIDDIPET(District Collector Siddipet_IDA)","Work of Grave Yard","MADHAVANENI RAGHUNANDAN RAO","MEDAK","N/A","28-Jun-2025","500000"
"9453","Normal/Others","WS/MP18265/2025-2026/154783-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","To construction of Ration Shop in sivananthipuram at koranapattu panchayat","M.K. VISHNUPRASAD","CUDDALORE","Images","28-Jun-2025","883520"
"9454","Normal/Others","WS/MP458/2025-2026/150052-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Community Hall at Arunthathiyar Street in Mettilpatti Village and Panchayat in Pudur panchayat Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","03-Sep-2025","1999892"
"9455","Normal/Others","WS/MP18069/2024-2025/165869-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","construction of link road village jol ward no3 from the house of ashok kumar to the house of suresh kumar","RAJEEV BHARDWAJ","KANGRA","N/A","18-Apr-2026","190000"
"9456","Normal/Others","WS/MP18193/2024-2025/150633-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Drilling of borewell in Sy.No. 131, Ward No. 10, 2BHK Dignity Houses, 6th Block, Dommara Pochampalli, Dundigal municipality, Gandimaisamma, Medchal-Malkajgiri District.","EATALA RAJENDER","MALKAJGIRI","Images","28-Jun-2025","170643"
"9457","Normal/Others","WS/MP18193/2024-2025/150632-Installing tube-wells and borewells","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Drilling of borewell in Zilla Parishad High School, Ward No. 16, Bowrampet, Dundigal Municipality, Gandimaisamma, Medchal-Malkajgiri District.","EATALA RAJENDER","MALKAJGIRI","Images","28-Jun-2025","129487"
"9458","Normal/Others","WS/MP457/2024-2025/141463-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Fair Price Shop / Ration Shop in Kanai Colony of Kanai Panchayat, Viluppuram. Vikravandi Assembly Segment.","D Ravikumar","VILUPPURAM(SC)","Images","02-Jul-2025","978693"
"9459","Normal/Others","WS/MP761/2025-2026/171866-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall in Mudiraj wada, Dharmaram (V)","Arvind Dharmapuri","NIZAMABAD","N/A","28-Jun-2025","300000"
"9460","Normal/Others","WS/MP18024/2024-2025/163851-Construction of community centers and community halls","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Construction of Padumoni Chetia Hatimuria Naamghar, Hatimuria, 11 No Pub Lahing GP","GAURAV GOGOI","JORHAT","N/A","16-Jan-2026","250000"
"9461","Normal/Others","WS/MP18182/2025-2026/161255-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtr LED High mast Light at Marriage Hall front Side of Ward No.10 in Surandai Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","28-Jun-2025","421555"
"9462","Normal/Others","WS/MP18182/2025-2026/161256-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtr LED High mast Light at Aladipatti Junction in Surandai Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","28-Jun-2025","417005"
"9463","Normal/Others","WS/MP18182/2025-2026/161258-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtr LED High mast Light at Kurungavanam Puthu Veetu Amman Kovil Front Side at Ward No. 23 in Surandai Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","28-Jun-2025","421555"
"9464","Normal/Others","WS/MP18182/2025-2026/161257-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtr LED High mast Light at Vadakuthi Amman Kovil Front Side at Ward No. 26 in Surandai Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","28-Jun-2025","421555"
"9465","Normal/Others","WS/MP017/2025-2026/160054-Construction of public toilets and bathrooms","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Public Toilet","S. Jagathrakshakan","ARAKKONAM","Images","03-Jul-2025","500000"
"9466","Normal/Others","WS/MP360/2024-2025/186893-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","5500-Liter, Tyre 900x16 Water Tanker","Shri Anil Firojiya","UJJAIN(SC)","Images","29-Jun-2025","160761"
